description,image_urls,images,misc,ranking,rating,season,title
"A century of bloodshed between warring star systems has plunged nearly 200 worlds into the flames of war. Now, an uneasy truce has settled across the Astragius Galaxy...,
,
Chirico Cuvie, a special forces powered-armor pilot is suddenly transferred into a unit engaged in a secret and highly illegal mission to steal military secrets—from their own military! Now he's on the run...from his own army!,
,
Unsure of his loyalties and to cover their own tracks, Chirico is left behind to die in space. Surviving by luck, the renegade is now hunted by both the conspirators and military intelligence.,
,
He is driven by the haunting image of a mysterious and beautiful woman—the objective of their mission, and his sole clue to unraveling their treacherous scheme. But the conspirators will do anything to preserve their mysterious agenda...,
,
(Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/1295/91064.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1295/91064.jpg', 'path': 'full/56bb1c708e91a02170cfddc576c3ffa361b11ec6.jpg', 'checksum': 'c6f49c7e63528b8878d7151b2a5a6271', 'status': 'downloaded'}]",Action;Space;Mecha;Military;Drama;Sci-Fi,#1057,7.70,Spring 1983,Soukou Kihei Votoms
The compilation film will recap the anime's 59 episodes from seasons one to three.,https://cdn.myanimelist.net/images/anime/1786/110717.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1786/110717.jpg', 'path': 'full/7d16c2e7e85d59d8657c81aba30f0a83edd8b382.jpg', 'checksum': 'd7d5d179655006d7cc84d688498b9222', 'status': 'downloaded'}]",Action;Military;Mystery;Super Power;Drama;Fantasy;Shounen,#1055,7.70,,Shingeki no Kyojin: Chronicle
"Keima Katsuragi, known online as the legendary ""God of Conquest,"" can conquer any girl's heart—in dating sim games, at least. In reality, he opts for the two-dimensional world of gaming over real life because he is an unhealthily obsessed otaku of galge games (a type of Japanese video game centered on interactions with attractive girls).,
,
When he arrogantly accepts an anonymous offer to prove his supremacy at dating sim games, Keima is misled into aiding a naïve and impish demon from hell named Elucia ""Elsie"" de Lute Ima with her mission: retrieving runaway evil spirits who have escaped from hell and scattered themselves throughout the human world. Keima discovers that the only way to capture these spirits is to conquer what he hates the most: the unpredictable hearts of three-dimensional girls! Shackled to Elsie via a deadly collar, Keima now has his title of ""God of Conquest"" put to the ultimate test as he is forced to navigate through the hearts of a multitude of real-life girls.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/43361.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/2/43361.jpg', 'path': 'full/3418098a21d2d27b738f23bee8b508195c886b18.jpg', 'checksum': '2899ab478a5005721a721ea4ffc195d0', 'status': 'downloaded'}]",Comedy;Harem;Romance;Shounen;Supernatural,#1045,7.70,Fall 2010,Kami nomi zo Shiru Sekai
"OVA bundled with the 11th , manga volume.,
,
The OVA will focus on Kousei, Emi, and Takeshi when they were younger, showing their troubles during their competitions and the beginning of their rivalry.,
,
(Source: Shigatsu wa Kimi no Uso Wikia)",https://cdn.myanimelist.net/images/anime/6/74156.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/74156.jpg', 'path': 'full/e4193c34605439eb1e83424df007a8e89e89f938.jpg', 'checksum': 'f636d19e2ea0ff39a42a4b506d05c873', 'status': 'downloaded'}]",Music;Shounen,#1054,7.70,,Shigatsu wa Kimi no Uso: Moments
"Specials included in the Blu-ray and DVD releases of ,.",https://cdn.myanimelist.net/images/anime/1452/97840.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1452/97840.jpg', 'path': 'full/e5f04680633173d8f53c1aaa1ad1ad61a465c1a5.jpg', 'checksum': '0a08bde07b14154b3ef8675ac0cd0fcb', 'status': 'downloaded'}]",Action;Comedy;Parody;Sci-Fi;Super Power;Supernatural,#1052,7.70,,One Punch Man Specials
"An adaptation of the original five volume arc of the popular JoJo's Bizarre Adventure manga, covering the Phantom Blood chapters. Jonathan Joestar is an aristocratic boy whose life is suddenly turned upside down by a mysterious new boy who arrives, Dio Brando. Dio has a connection to his father, and over time, a rivalry forms as Dio becomes obsessed with a mysterious, ancient, and mystical stone mask that Jonathan's father keeps. ",https://cdn.myanimelist.net/images/anime/5/50055.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/5/50055.jpg', 'path': 'full/d093dc159283a0dacb2390b3cc3e0d163dc3eeea.jpg', 'checksum': 'f152695540ad82d61646d8cdf3cc6859', 'status': 'downloaded'}]",Action;Adventure;Horror;Shounen;Vampire,#1044,7.70,,JoJo no Kimyou na Bouken: Phantom Blood
"Three years since the end of their intergalactic excursion, both Lafiel Abriel and Jinto Linn have reunited; Lafiel as the captain of the attack ship Basroil and Jinto as her supply officer. The restart of the war between the Abh Empire and the Triple Alliance thrusts the inexperienced duo into the forefront of the deadly conflict.,
,
As the catastrophic battle between pure humankind and their greatest creation, the Abh, rages on, both sides accept that their conflict is not merely about territory, but about settling the inherent differences between themselves.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/61111.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/61111.jpg', 'path': 'full/08fc0a3819b5391713373e9c1fa1efbea5479068.jpg', 'checksum': 'b9a2125153c99d5613bf3ac66308768d', 'status': 'downloaded'}]",Action;Military;Romance;Sci-Fi;Space,#1053,7.70,Spring 2000,Seikai no Senki
"It is summer break and Keima intends to spend all his time on video games. An old acquaintance, the timid girl Tenri, comes back into the neighborhood—and apparently has a lost soul inside her. It is up to Keima and Elysia to unravel the secrets of her heart.,
,
(Source: ANN)",https://cdn.myanimelist.net/images/anime/11/43359.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/43359.jpg', 'path': 'full/607a960c05140871d99f3babacb03ddc8fbbe72a.jpg', 'checksum': '565f551181cb850962d2f73976346d5a', 'status': 'downloaded'}]",Comedy;Harem;Romance;Supernatural;Shounen,#1046,7.70,,Kami nomi zo Shiru Sekai: Tenri-hen
"After a long journey, Kino and Hermes finally arrive at their destination—a very beautiful and clean country with many skyscrapers. Unlike the other places they have visited so far, the country's landscape is a little peculiar. Although the countryside appears to be farmland, the area seems to be abandoned. Filled with old and damaged buildings, there is no sign of life. In contrast, the city is hidden within a mountain, confined under a fabricated sky that is generated by advanced technology. The highly developed city is focused on healthcare, practicing strict hygiene regulations and aiming to turn its citizens into the healthiest of people.,
,
However, despite being in a beautiful and clean environment, Kino cannot help but feel a sense of uneasiness. The town's air slightly contains a peculiar smell, and there are no birds to be seen flying in the skies, bringing a sense of mystery and dizziness to the scenery. After all, as an experienced traveler, Kino knows that looks can be deceiving and that the town may not be what they had initially expected.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/73906.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/8/73906.jpg', 'path': 'full/de85adfb54a2b86da24341e636b39fde3de777f3.jpg', 'checksum': '61f785f2911b21fc62de24340ad4e257', 'status': 'downloaded'}]",Adventure;Drama;Fantasy,#1047,7.70,,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You
Ichigo Mashimaro encore is a two-episode OVA continues onwards from the previous set of OVAs of Ichigo Mashimaro.,https://cdn.myanimelist.net/images/anime/12/14251.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/12/14251.jpg', 'path': 'full/ce635ed64a7bc90b9452e10ed41e54cf99fddcd9.jpg', 'checksum': '94e8c79995b512575d9a3010ba888f8a', 'status': 'downloaded'}]",Comedy;Slice of Life,#1042,7.70,,Ichigo Mashimaro Encore
"Based on Barasui's manga series, Ichigo Mashimaro follows the life of Nobue Itou, her younger sister Chika, and her friends. The basic premise of the show can be summed up in ""cute girls do cute things in cute ways"", be it trying to quit smoking, going outside to play, celebrating a holiday, or doing school work. This OVA picks up where the series left off, continuing the adventures of your everyday life, only cuter. ,
,
(Source: AniDB)",https://cdn.myanimelist.net/images/anime/4/4325.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/4325.jpg', 'path': 'full/432fc1da043dc1a1b730f41f4d9a4b33f0aaba22.jpg', 'checksum': '34543c82e4c1405862bf264f50f0a77c', 'status': 'downloaded'}]",Comedy;School;Slice of Life,#1043,7.70,,Ichigo Mashimaro OVA
"1. Genshisuru Kami (Visions of a God),
A two hour episode of Death Note, mainly a compilation of the confrontations between Light and L, re-edited from Ryuk's perspective with new dialogue and soundtrack along with additional animation that could not be included in the original series.  An Unnamed Shinigami comes to Ryuk to question him about his new story in the human world.,
,
2. L o Tsugu Mono (L's Successors),
This story continues where the previous left off, continuing the story of Light. As the previous special told Light and L's battles, this story does the same with the conflicts between Light, Mello, and Near.  ,
,
(Source: Wikipedia)",https://cdn.myanimelist.net/images/anime/13/8518.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/13/8518.jpg', 'path': 'full/a3dfe567a487c84fac49c40ac957f0eba25fea73.jpg', 'checksum': '58181ed22234f84feda8e7db444f96d7', 'status': 'downloaded'}]",Mystery;Police;Psychological;Supernatural;Thriller,#1039,7.70,,Death Note: Rewrite
"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?,
,
In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/27013.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/5/27013.jpg', 'path': 'full/69f4594cd572733aa0c3503950d66a25b292145d.jpg', 'checksum': 'dba373d9bada46eb72ffb890edbd627f', 'status': 'downloaded'}]",Action;Mystery;Comedy;Historical;Demons;Supernatural;Shounen,#1033,7.71,Fall 2008,Kuroshitsuji
"The third season of ,.",https://cdn.myanimelist.net/images/anime/1643/102418.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1643/102418.jpg', 'path': 'full/61bfd7673af0e49bc8cb076416322b00993eb419.jpg', 'checksum': '209542f32de0131bb28bf8857c79f063', 'status': 'downloaded'}]",Action;Adventure;Demons;Supernatural;Romance;Martial Arts;Fantasy,#1040,7.70,,Doupo Cangqiong 3rd Season
"Years ago, all of the ghosts in a haunted schoolhouse were banished by a certain student. Now, they're back—and they want revenge...,
 ,
Satsuki and Keiichirou Miyanoshita are two siblings recovering from the tragic loss of their mother. After moving to their mother's hometown, they learn that the local school they have transferred to is an old building—one said to be haunted. Despite initially brushing it off as a silly rumor, the two soon discover that ghosts are indeed real and that they're after them! , is the creepy tale of the lives of these siblings and their newfound friends as they try to survive the school's ghosts—with a little help from their pet cat along the way.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1414/112029.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1414/112029.jpg', 'path': 'full/76160e5a1ac4b861a79a26aeb0f07a581f81234b.jpg', 'checksum': '505b8ae5ca36489c05b034c2d70d9019', 'status': 'downloaded'}]",Mystery;Horror;Supernatural,#1041,7.70,Fall 2000,Gakkou no Kaidan
"Dr. Saotome returns from the dead after being seemingly murdered by Getter pilot Nagare Ryoma and threatens the world with his ultimate creation: the Shin Dragon. Ryoma reluctantly teams up with his former co-pilots Jin Hayato and Tomoe Mushashi to combat Dr. Saotome. The pilots must also deal with the mysterious Invaders, aliens that have the ability to possess humans and warp their flesh to form hideous creatures.,
,
(Source: Nihon Review)",https://cdn.myanimelist.net/images/anime/4/23767.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/23767.jpg', 'path': 'full/f0f9d2a9890720af7f5bb82242f9e58f7559a827.jpg', 'checksum': '0656dc14f4a334f0dfa50efb37c796b7', 'status': 'downloaded'}]",Action;Psychological;Adventure;Mecha;Sci-Fi;Horror;Shounen,#1038,7.70,,Change!! Getter Robo: Sekai Saigo no Hi
"When Mamoru was little he gave a rose to a little boy named Fiore. Fiore promised that one day he would bring Mamoru lots of flowers. Now Fiore has come back to earth but his intentions are not merely to fulfil a promise... ,
,
(Source: ANN)",https://cdn.myanimelist.net/images/anime/12/18897.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/12/18897.jpg', 'path': 'full/2c9d805d2d9c1aab4021b03a82f45aaeeecb0538.jpg', 'checksum': 'f22f0fd2bf7f0d8eb2703f58b8a05afa', 'status': 'downloaded'}]",Drama;Magic;Romance;Shoujo,#1036,7.70,,Bishoujo Senshi Sailor Moon R: The Movie
"Usagi Tsukino and her friends have been living peacefully until they are called into action again as Sailor Guardians, planetary warriors fighting for the peace of the galaxy. Usagi, also known as Sailor Moon, leads their group into battle when a new threat from beyond the stars presents itself: two survivors of an alien race, An and Ail. In order to save the source of their life force, the Makai Tree, An and Ail begin harvesting energy from unsuspecting humans. The Sailor Guardians must stop their plot or face the annihilation of Earth.,
,
But as one threat subsides, another follows—this time in the form of a little girl from the future who seeks the source of Sailor Moon's power to save her family. However, she is not the only one vying for it, as a group known as the Black Moon Clan also wishes to obtain the power and use it for nefarious purposes. In order to protect their destinies and the harmony of the universe, Sailor Moon and the rest of the Sailor Guardians must fight to stop these forces from succeeding.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1/740.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1/740.jpg', 'path': 'full/fa156be8db6b5583d51b7a47e335895fb02d60eb.jpg', 'checksum': '33a62b23fe42e939c1e5552e9eb9cddf', 'status': 'downloaded'}]",Demons;Magic;Romance;Shoujo,#1035,7.70,Spring 1993,Bishoujo Senshi Sailor Moon R
"The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ.,
,
One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1884/114414.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1884/114414.jpg', 'path': 'full/cd9f3cc54e171ec86894c5315b6dfb9b6f9233d3.jpg', 'checksum': '94036794d9b917d3ca51e5922ea86ec5', 'status': 'downloaded'}]",Action;Military;Sci-Fi;Space;Drama;Mecha,#1034,7.71,Spring 1995,Mobile Suit Gundam Wing
Sixth and final Break Blade movie.,https://cdn.myanimelist.net/images/anime/4/68089.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/68089.jpg', 'path': 'full/7ca635bdd7d2d5154d092e28794058d3023da406.jpg', 'checksum': 'b4006d884ccd6a726c46b6a4e03488b3', 'status': 'downloaded'}]",Action;Military;Fantasy;Mecha;Shounen,#1037,7.70,,Break Blade 6: Doukoku no Toride
"Two specials released September 3rd, 2014, in the final volume of the Blu-ray/DVD releases.,
,
One of them is a recap of the whole Kill la Kill anime which is 8:43 minutes long, while the other is a sequel to the anime which is 27:18 minutes long.",https://cdn.myanimelist.net/images/anime/12/73654.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/12/73654.jpg', 'path': 'full/ebf18eafbd91f74ebe73648db0e55d4ef95bb8c8.jpg', 'checksum': '6a507315057767093bfc764257fa1943', 'status': 'downloaded'}]",Action;Comedy;Super Power;School,#1032,7.71,,Kill la Kill Specials
"As she heads off to her entrance ceremony at Sainotama Girls' High School, Akane Kikuchi muses over her grade school dream of becoming a manga artist and the lack of progress that she has made. When she finally arrives at school, she is surprised to learn that she is once again in the same class as her two best friends: the deadpan and emotionless Shiori Saginomiya and the hyperactive and ridiculous Nozomu Tanaka. Tanaka then comes to the obvious realization that she can't achieve her grade school dream of being popular with the boys and getting a boyfriend by going to an all-girls high school.,
,
In desperation, she begins asking the girls in her class to introduce her to their guy friends. Her classmates, however, are anything but ordinary. From a grandmother-loving loli to a reclusive chuunibyou to an overly analytical stalker, each one is given a fitting nickname by Tanaka to accentuate their weirdness. And so begin the wasteful days of these high school girls, each day kicked off with a simple question: ""Hey, wanna hear something amazing?"",
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1343/111356.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1343/111356.jpg', 'path': 'full/b3a718cd9b40946b2dbf992d453a58619116beb1.jpg', 'checksum': '118af30f5b545b24e45c1b7c5d2d806a', 'status': 'downloaded'}]",Comedy;School,#1031,7.71,Summer 2019,Joshikousei no Mudazukai
"Hayate Ayasaki's misfortune continues to hand him the short end of the stick. Now settled into his routine at the Sanzenins' mansion and Hakuou Academy, the butler continues to work as hard as ever in caring for his young mistress Nagi while studying the school's grueling curriculum—all on top of trying his best to survive the multitude of troubles that life relentlessly pushes onto him.,
,
The unintentional chick magnet's life is far from quiet, forced to deal not only with Nagi's yet unnoticed infatuation with him, but also the evergrowing string of accidentally seduced girls—most notably, the exceptionally plain Ayumu Nishizawa, a friend of his before he became a butler, and the diligent Hinagiku Katsura, Hakuou's student council president. While one struggles to gain his affection and the other desperately tries to deny her own, both the girls are going to make the boy's life a little more complicated than it already is.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/75212.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/75212.jpg', 'path': 'full/e7c39d9afc438f0db7a3f72e34b7030946d285fd.jpg', 'checksum': 'a87de9a32eeb56a691c085f02a85ce75', 'status': 'downloaded'}]",Action;Harem;Comedy;Parody;Romance;Shounen,#1030,7.71,Spring 2009,Hayate no Gotoku!!
"Ever since she was young, Haruka Haruno has always aspired to become a princess. Despite being mocked for this seemingly childish wish, Haruka perseveres to make her dream a reality, ultimately culminating in her acceptance into the prestigious Noble Academy—the birthplace of people's fantasies.,
,
When Haruka arrives at her new school, a chance encounter with a pair of magical creatures influences a series of unbelievable events, and Haruka awakens as ""Cure Flora,"" the princess of blooming flowers. After two of Haruka's classmates also transform into legendary princesses, a story of self-discovery unfolds as the newfound team ""Princess Precure"" carries the responsibility of protecting everyone's dreams. Engaged in a battle between hope and despair, Haruka may find the key toward becoming the princess she has always dreamed to be.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/10/88625.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/88625.jpg', 'path': 'full/10ad01f7593973afa3261d8d688561a0c850967c.jpg', 'checksum': 'a3c40e2b638139aedbec7b17b582135c', 'status': 'downloaded'}]",Action;Comedy;Fantasy;Magic;School;Shoujo;Slice of Life,#1029,7.71,Winter 2015,Go! Princess Precure
"After a brilliant victory over Saunders University High School, girls from Ooarai now have to face Italian-themed Anzio Girls High School in the second round of the 63rd National High School Sensha-Dou Tournament. The high-spirited girls from Anzio, led by the charismatic Chiyomi Anzai, advance toward the battle equipped with baffling tactics and a secret weapon.,
,
Ooarai will soon find out that what seemed to be a mere formality might take an unexpected and possibly disastrous turn. Whether they will win the match, or lose and doom their school to a closure, is still on a knife-edge.,
,
[Written by MAL Rewrite],
",https://cdn.myanimelist.net/images/anime/1959/92804.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1959/92804.jpg', 'path': 'full/ef64a13e68e0f202ac4532caa03c67799fbc5785.jpg', 'checksum': 'd165afd14e51abdc15f09455e377d8c3', 'status': 'downloaded'}]",Military;Sports;School,#1028,7.71,,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!
"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku, Youji Itami, is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts towards stopping the invasion.,
,
Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/76222.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/8/76222.jpg', 'path': 'full/3bded80ea8260953108c41573c696ca62dd6664c.jpg', 'checksum': '34f71bf37121d6114f2cd064c43aea62', 'status': 'downloaded'}]",Action;Adventure;Fantasy;Military,#1026,7.71,Summer 2015,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
"Shorts of , (TV) , which adapt chapters of the manga which are not in the TV series. ,
,
The adapted chapters are 78 (""Takebayashi no Jikan"") and 79 (""Shihaisha no Jikan, Ni Jikanme""), which are published in the ninth manga volume. ",https://cdn.myanimelist.net/images/anime/1807/96939.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1807/96939.jpg', 'path': 'full/4fcfcf63741960ea95a621cceed5a830cc4d4d49.jpg', 'checksum': '18d5839ba30020a9c4f7031d92dd1512', 'status': 'downloaded'}]",Action;Comedy;School;Shounen,#1021,7.71,,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen
"For over a century and a half, two interstellar states have wrested for control of the Milky Way. The Galactic Empire, an absolute monarchy ruled by Kaiser Friedrich IV and an entrenched nobility, seeks to suppress the rebels daring to oppose the inviolable crown. The Free Planets Alliance, a representative democracy led by a corrupt High Council, degenerates as its elected leaders⁠ use war and conflict as a way to win popular support.,
,
But this long-standing stalemate between the Empire and the Alliance ends with the rise of two opposing military geniuses. Reinhard von Lohengramm, a minor noble and High Admiral of the Empire through his strategic brilliance and his sister's position as the favored concubine of the Kaiser, dreams of conquering the galaxy and uniting mankind under his iron fist. Meanwhile, Yang Wen-li of the Alliance, an avid historian and reluctant commodore hailed as the Hero of El Facil, uses his tactical prowess to navigate around his leaders' incompetence—and to carve the path to lasting peace. As the war rages on, Reinhard and Yang each strive for their ideals and to secure their place among the stars as the leaders of a new era of galactic heroes.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1104/91793.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1104/91793.jpg', 'path': 'full/3503d52238ad0b1644e5900d864792b1d7f54554.jpg', 'checksum': '525f252d1119a1fe05b1118faf220270', 'status': 'downloaded'}]",Action;Drama;Military;Sci-Fi;Space,#1027,7.71,Spring 2018,Ginga Eiyuu Densetsu: Die Neue These - Kaikou
"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.,
,
, follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/10/59897.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/59897.jpg', 'path': 'full/b8144a9c59e609fedfb869980591258bcdc5b1f0.jpg', 'checksum': '3e3a4ff343d606cb1362132e2fef6746', 'status': 'downloaded'}]",Slice of Life;Comedy;Ecchi;School;Seinen,#1023,7.71,Spring 1992,Crayon Shin-chan
"Five years after the events of Dragon Ball, martial arts expert Gokuu is now a grown man married to his wife Chi-Chi, with a four-year old son named Gohan. While attending a reunion on Turtle Island with his old friends Master Roshi, Krillin, Bulma and others, the festivities are interrupted when a humanoid alien named Raditz not only reveals the truth behind Gokuu's past, but kidnaps Gohan as well.,
,
With Raditz displaying power beyond anything Gokuu has seen before, he is forced to team up with his old nemesis, Piccolo, in order to rescue his son. But when Gokuu and Piccolo reveal the secret of the seven mystical wish-granting Dragon Balls to Raditz, he informs the duo that there is more of his race, the Saiyans, and they won’t pass up an opportunity to seize the power of the Dragon Balls for themselves.,
,
These events begin the saga of ,, a story that finds Gokuu and his friends and family constantly defending the galaxy from increasingly more powerful threats. Bizarre, comical, heartwarming and threatening characters come together in a series of battles that push the powers and abilities of Gokuu and his friends beyond anything they have ever experienced.",https://cdn.myanimelist.net/images/anime/6/14065.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/14065.jpg', 'path': 'full/b3f7f7a7f6a6543ac6619599c5bc6eb6b92d0131.jpg', 'checksum': '60bb79551607e73a90cbe59f2dc7bf88', 'status': 'downloaded'}]",Action;Adventure;Comedy;Fantasy;Martial Arts;Shounen;Super Power,#1024,7.71,Spring 2009,Dragon Ball Kai
"Recap of the , TV series featuring new scenes.",https://cdn.myanimelist.net/images/anime/1643/102220.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1643/102220.jpg', 'path': 'full/e24646b7f33f189a89354b1af0119160fdd46517.jpg', 'checksum': '649952bb3b8ad04e093f9909779ddf55', 'status': 'downloaded'}]",Slice of Life;Comedy;Sports;Drama;School,#1025,7.71,,Free! Movie 3: Road to the World - Yume
"Before Saitama became the man he is today, he trained and fought endlessly to become a hero. While every scuffle leaves his tracksuit uniform in tatters, he always has it mended for free thanks to his local tailor. One day, however, the tailor informs him that he must close up shop due to pressure from a local gang. Saitama decides to help him out—and gains something irreplaceable in the process.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/76392.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/8/76392.jpg', 'path': 'full/c73a333f4c3b0d16905aa984141325d54971abf3.jpg', 'checksum': '7cc29032d41be40b817c90c92d116dc6', 'status': 'downloaded'}]",Action;Sci-Fi;Comedy;Parody;Super Power;Supernatural,#1014,7.71,,One Punch Man: Road to Hero
"Bundled with the limited edition 15th volume of the manga.,
,
,
1. Volume 10, Chapter 41: Shirayuki to Zen, Hajimete no Joukamachi Date (白雪とゼン、はじめての城下町デート),
2. Volume 7, Special Chapter: Raji Ouji Youshou no Migiri (ラジ王子幼少のみぎり),
3. Volume 11, Special Chapter: Hajimari no Zen & Mitsuhide & Kiki (始まりのゼン＆ミツヒデ＆木々)",https://cdn.myanimelist.net/images/anime/10/77943.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/77943.jpg', 'path': 'full/ffef60ddcc2d508551cd32ff1ce924e081fa135f.jpg', 'checksum': '2b124278119003e122d9e8e8f392ea8e', 'status': 'downloaded'}]",Drama;Fantasy;Romance;Shoujo,#1020,7.71,,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page"
